ticker,country,complete,completion_pct,missing
V,US,non,80,ir_page_snapshot
VEEV,US,OUI,100,
VIAV,US,OUI,100,
VICI,US,OUI,100,
VIE.PA,EU,non,67,ir_page_snapshot
VLO,US,non,80,ir_page_snapshot
VLTO,US,non,80,ir_page_snapshot
VMC,US,OUI,100,
VNA.DE,EU,OUI,100,
VOW.DE,EU,OUI,100,
VRSK,US,OUI,100,
VRSN,US,non,80,ir_page_snapshot
VRT,US,non,80,ir_page_snapshot
VRTX,US,non,60,ir_page_snapshot|home_page_snapshot
VST,US,non,80,ir_page_snapshot
VTR,US,non,80,ir_page_snapshot
VTRS,US,OUI,100,
VWS.CO,EU,non,67,ir_page_snapshot
VZ,US,OUI,100,
WAB,US,non,80,ir_page_snapshot
WAT,US,non,60,ir_page_snapshot|home_page_snapshot
WBD,US,non,80,ir_page_snapshot
WDAY,US,non,80,ir_page_snapshot
WDC,US,non,80,ir_page_snapshot
WEC,US,non,80,ir_page_snapshot
WELL,US,OUI,100,
WFC,US,OUI,100,
WM,US,non,80,ir_page_snapshot
WMB,US,non,80,ir_page_snapshot
WMS,US,non,80,ir_page_snapshot
WMT,US,non,60,ir_page_snapshot|home_page_snapshot
WRB,US,non,80,ir_page_snapshot
WSM,US,non,80,ir_page_snapshot
WST,US,non,80,ir_page_snapshot
WTW,US,non,60,ir_page_snapshot|home_page_snapshot
WWD,US,non,80,ir_page_snapshot
WY,US,OUI,100,
WYNN,US,non,80,ir_page_snapshot
XEL,US,non,60,ir_page_snapshot|home_page_snapshot
XOM,US,OUI,100,
XYL,US,OUI,100,
XYZ,US,non,80,ir_page_snapshot
YAR.OL,EU,OUI,100,
YUM,US,non,80,ir_page_snapshot
ZBH,US,non,80,ir_page_snapshot
ZBRA,US,non,80,ir_page_snapshot
ZTS,US,non,80,ir_page_snapshot
